Pays,Année,code_pays,Croiss_PIB/pers/an(%),Frais_prop_intellectuelle_$,Com_informatique(%),Impor_de_biens_$,Importations_biens_services_$,services_dImportations_$,Services de voyage(%),Invest_étranger_direct_$,Import_biens_services_et_rev_ primaires_$,Services_transport(%),Impor_biens_services_croiss_an(%),Encours_dette_extérieure(% du RNB),Dép_éducation(% du RNB) ,Consommation de capital fixe (% du RNB),Taux_scolarisation_primaire(% ), Enfants_non_scolarisés(% garçons),Import_energie(%),Terres_agricoles(km²)Pop Urbaine,Émission_CO2_résidentiels_ et_services_commerciaux(%),Pop_agglo_urb(+1 million/hab),Densi_pop(hab/km²),pop_grande_ville(%),Croiss_pop_urb/an(%),Pop_urb,Ratio_réserves_liquidités_bancaires(%),Taux_intérêt_dépôts(%),Inflation_prix_conso(%/an),Distri_auto_(DAB/100ml),Risk_décès_maternel(%),Abo_bande_fixe, Abo_tél_fixe, Expo_hi_tech(%prod_manuf),Trans_aérien_fret(millions de tonnes-km) ,Indice_connec_trans_maritimes,Lignes_ferroviaires(km_total), Revenus_détenus_20%,Impor_services_commerciaux($),Impor_prod_alimentaires(%impor_marchandises),Commerce_marchandises(%_PIB),Dette_administration_total(%_PIB),Salariés_total(%),Travailleurs_indé(%),Pop_réfugiée,Chômage_éduc_sup(%_femmes) ,jeunes_sans_études_emploi(%)
Albania,2009,ALB,4.05313986380152,14487498.7588025,20.4115812851081,3796274373.20194,6028667300.38082,2232379898.5757,71.0181294268566,-950761387.622092,6598438373.47801,14.6248048885788,-1.14024580046541,38.8531585672736,3.09047656481869,13.012983466726,85.34118,13.197319984436,41.6672458370863,12013,9.54907161803713,..,106.843759124088,26.8204860693124,1.47328791317413,1495260,14.3943281823193,6.77243622651908,2.2669220945083,32.94,0.0322345113131938,92000,363000,1.32819340038297,0.153,3.5242601242,423,..,2215664355.22036,17.0873895391181,46.8606981859125,..,42.0800018310547,52.9199981689453,15707,18.5300006866455,30.7299995422363
Andorra,2009,AND,-5.9766840451389,..,..,..,..,..,..,..,..,..,..,..,3.14,..,..,..,..,207.7,..,..,179.704255319149,..,0.610413622736659,75096,..,..,..,..,..,22941,37882,12.1884592508477,..,..,..,..,..,21.664803153195,..,..,..,..,5,..,..
Armenia,2009,ARM,-13.5193908169314,..,17.2482159207705,2863596972,3925582806.07523,1061985834.07523,41.7290537045559,-707800329.856072,4442602404.30701,35.8288679097525,-19.1536240621499,54.7919798640002,2.80136222857144,11.7029214297542,..,..,68.1066449039644,17463,26.2295081967213,1069873,101.443414120126,58.300687430351,-0.830882318836667,1835095,23.6809031857258,8.65292863099265,3.40676682683799,30.24,0.0590901983806955,39888,599900,2.84280207545875,5.698,..,..,13.5,1040120847.27523,19.0758046949727,46.6122743200947,..,56.8600006103516,39.5699996948242,18004,20.6499996185303,40.5200004577637
Austria,2009,AUT,-4.01634004211772,1712417781.69956,34.0659557577455,132493550933.87,171566654909.101,39073103975.2311,27.7063043742426,1258109965.99233,208863236296.986,28.1073489235572,-11.8992176661716,..,5.55,17.49805464,87.46642,2.5192699432373,63.8529679605059,27950,14.6356783919598,1710506,101.106677169171,35.5416598530673,-0.227452142237554,4812679,..,..,0.506308827696486,112.34,0.00702839954229785,1878524,3253000,13.4374534617782,341.511,..,5356,13,38954457835.5907,7.71546426441112,69.7065116522894,83.3316518773762,86.3600006103516,15.7799997329712,15,3.25999999046326,8.1899995803833
Azerbaijan,2009,AZE,7.05060251949079,19229000,50.2015559961064,6113466000,9786925000,3673459000,11.0410378882683,-147181000,13857507000,21.8937246883659,-5.27477516403545,11.0880632031422,3.42,6.43668400390693,85.5189,11.1975803375244,-441.156606679222,47573,24.3066884176183,2002541,108.291290455327,42.0786843730425,2.45286958706445,4759039,7.7756740285458,12.1958333333333,1.45704835970323,24.67,0.0651343631503269,100000,1401100,1.01646066894248,7.388,..,2079,..,3612695000,15.7321124634583,62.3392885131244,6.29501240116287,32.4300003051758,64.2699966430664,16945,8.35000038146973,..
Belarus,2009,BLR,0.446705795918504,76000000,28.913507741591,27700300000,29938600000,2238300000,28.5261135683331,-1774200000,31224400000,36.5858017245231,-9.12257664508309,44.3700187012943,4.4,12.9789452372556,..,..,85.6356111438264,89270,8.71042747272402,1832710,46.8441433626748,25.9968489613587,0.357203605168211,7049739,4.84795439271345,10.6833333333333,12.9456563410401,33.37,0.00851133625122988,1092290,3983178,3.14372283754312,1.022,..,5491,13.8,2228600000,7.82997028498549,98.0322433533932,18.5574619808712,95.7799987792969,6.01000022888184,5518,..,12.0799999237061
Belgium,2009,BEL,-2.80592074025158,1934877742.41637,52.3370410640257,246202556309.584,328683566351.223,82483676090.6656,23.0355316681777,-44015051904.4328,412811277130.292,21.5940635835863,-10.8588887176635,..,6.25,19.1212403834082,97.77166,1.32526004314423,73.4327904314744,13636,25.0181290790428,2899211,356.555250990753,18.1394404718828,0.853791422542778,10537701,..,..,-0.0531456741253762,87.37,0.0113898587288281,3153262,4636079,11.3558323720033,1427.499,79.8011618452,3578,13.9,82253755017.0869,9.25042695274892,149.71189971448,95.9430277968126,85.1999969482422,17.6700000762939,66,4.59999990463257,11.0799999237061
Bosnia and Herzegovina,2009,BIH,-2.52892152446536,5967649.54209525,44.8743316718928,7984414677.97,8624862466.83688,640447788.866886,36.0816746007703,-231998611.544701,8843094164.83382,34.3363407587444,-14.3432074757035,76.5671243531458,..,12.5664904913706,..,..,28.8549200880744,21280,2.0781791192479,..,72.96767578125,20.2333702541382,0.21856844648801,1690104,21.5561734945176,3.6,-0.38146428245309,43.24,0.0145549612907608,292113,998644,3.54054508077565,0,..,1017.054,..,631148591.606732,18.992113610139,72.2556951421989,..,72.7900009155273,25.7700004577637,70006,11.1099996566772,25.5200004577637
Bulgaria,2009,BGR,-2.64664096054558,117239687.563586,21.8945033653462,22153280166.8052,27187707844.4708,5034427677.66565,34.8620974282058,-3535417639.07974,29965751819.5011,22.3717936553053,-21.5083059017799,110.575867230811,4.22,14.6203011618606,99.30125,..,43.7872348981496,50300,2.64150943396226,1205730,68.5744565217391,22.506530875478,-0.169290725144742,5357245,9.73901951999957,6.1775,2.75320223914816,87.82,0.0183153082285224,998035,2205394,8.66205735683869,1.73,5.745420503,4150,12.5,5028128798.65997,10.0022048452125,76.6134466782463,20.1600093706789,87.5199966430664,14.7600002288818,2743,3.03999996185303,19.4500007629395
Croatia,2009,HRV,-7.18426866317068,212636457.421672,19.5649754761915,19556654024.8655,24016740741.26,4460086716.39453,22.7196597213448,-1694947241.51166,27468613293.732,20.4165014295534,-20.3428289151398,..,4.15,17.1177360491756,91.49942,8.60733032226563,47.9063306608371,12996,14.1657922350472,..,76.927685655064,29.0959282555158,0.200979934356861,2367290,16.2985918016044,3.20333333333333,2.37852845904674,99.01,0.0135688410929716,717354,1859190,11.3082456867713,1.921,17.2189557097,2722,12.7,4397433685.61066,10.1286110146861,49.9746332646205,63.459424031954,79.1399993896484,22.3500003814697,76479,7.01999998092651,13.4300003051758
Cyprus,2009,CYP,-4.61065116548453,..,14.254965836167,9031822221.96632,14082907323.0938,5051085101.12745,27.8138194096572,-2995359578.23191,29702858762.2145,29.382822316,-15.3242288737153,..,6.3635204833752,11.9099952066234,99.14474,..,96.6979056905392,1276,7.06666666666667,..,118.840800865801,..,1.30340433081697,743351,..,..,0.326276652249795,69.86,0.0123437335840964,176024,414512,32.5294253123802,38.312,16.1172262266,..,12.5,4987566043.84982,15.485158429144,35.0428318010132,..,80.2200012207031,24.4799995422363,10,5.34000015258789,9.89999961853027
Czechia,2009,CZE,-5.19898191898565,842489141.188645,38.9943836066724,97660114670.067,113932760984.834,16272646314.7667,26.1491531040867,-1951523283.4102,131884994197.718,21.4712773093443,-11.0769431287929,..,3.97,22.3264503209845,88.93261,..,25.7957365126699,35458.7,9.75341461178843,1226462,135.214085965821,16.0156188788798,0.474306871788842,7657912,15.2247448845333,1.26501666666667,1.0193773532923,39.89,0.00688511381281009,2036110,2526857,17.4271711311538,22.379,..,9477,14.6,16175022194.7443,6.30881681226657,105.094964216351,..,83.2300033569336,20.7999992370605,1060,2.3199999332428,8.51000022888184
Denmark,2009,DNK,-5.4140139985128,1379559872.12951,30.8120232494798,81729834216.7563,137303706881.236,55573872664.4799,16.4384248219618,2390253594.47888,159327728938.879,48.2115329445698,-11.9435790383058,..,7.96,18.0298168091667,96.43092,1.13660001754761,-30.4598834787606,26340,7.84648187633262,1178851,138.077375,24.6313244322013,0.727990766226651,4785983,3.86251146965648,..,1.30470991024336,65.18,0.00998787649965074,2022709,2774313,18.9297626220831,..,25.5683819107,2131,14.3,55422579075.0299,13.1946586237288,55.1351890185185,..,90.3399963378906,13.25,10,3.46000003814697,6.48000001907349
Estonia,2009,EST,-14.4643283839458,45861418.9740905,37.650705980111,8399233175.38196,11023391115.8599,2624157940.47793,23.0890710089946,-503313255.683766,12659647032.8683,31.2770428373057,-30.6055625878328,..,5.21,18.2812943447327,..,..,14.6217454062609,9318,2.37127371273713,..,31.4818353385232,43.3561133773996,-0.380188578712754,910446,..,..,-0.0784083112810205,88.69,0.0225578304101341,313625,492759,10.322875026258,0.576,8.7074086384,797,13.2,2588597817.2706,12.493777659756,97.7332517398988,8.22468046659972,91.6100006103516,11.539999961853,249,5.80000019073486,14.4700002670288
Finland,2009,FIN,-8.51302848718304,1477245035.76732,68.515820528632,58287647778.1274,86447295561.2229,28159647783.0955,15.6405968327091,4920533661.43846,100725353880.896,17.54883509531,-16.9976171564734,..,06.01,19.2241997128125,98.0157,1.61308002471924,50.2790742315822,22965,4.8411214953271,1110266,17.5678545574202,24.9264565069069,0.634201339099274,4454167,..,..,-9.17360403259616E-07,37.15,0.00790222977295622,1565600,1430000,18.0154606067479,484.365,13.8452182071,5919,13.9,28131245149.1523,7.34673682608116,48.8142840985451,..,86.3899993896484,17.9899997711182,6,4.09000015258789,9.84000015258789
Georgia,2009,GEO,-2.79094025368749,8559176.97,15.0717145649027,4270445003.93,5248087038.84,977642034.91,18.56276750587,-685300808.06,5780932588.7,50.2836203800561,..,80.8785426919556,2.0542857142857,12.9619262021506,96.9221,3.45514988899231,61.7229463324937,24980,17.2022684310019,1079710,66.7346478183281,51.3255044085238,-0.187640081602738,2103652,13.0854690411894,10.8103234445944,1.72751461137912,43.65,0.0790421533910333,150000,620000,4.12019312505501,2.43,4.3573893029,1566,11,913444119.07,13.2713929423076,52.3273490492605,30.8567774936061,39.6199989318848,60.2099990844727,15015,..,..
Germany,2009,DEU,-5.45457716940945,7008622136.38986,46.1889596470272,877208771696.073,1128569432728.91,251360661032.841,32.4080613639099,43037329587.0528,1307667497061.89,21.9176917806965,-9.69217418279094,..,4.65,18.1082500864553,88.17263,2.88188004493713,59.3175464598352,168860,19.7956435423637,7550115,234.939637417171,5.46762722652178,0.00224726200833851,62877220,..,..,0.31273762987172,112.32,0.00727307772079352,24964600,53700000,16.789818590398,10187.719,79.0059296737,33721.305,13,249973657256.289,8.47420942410342,59.9891908719849,..,88.4100036621094,14.2399997711182,167,3.72000002861023,8.80000019073486
Gibraltar,2009,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,0,..,3356.2,..,-0.0238336412973569,33562,..,..,..,..,..,9297,24000,..,..,2.1069806398,..,..,..,..,..,..,..,..,..,..,..
Greece,2009,GRC,-4.55211704750764,654722897.27106,10.1198051771846,63885277560.9051,84146404124.9272,20261126564.0222,16.6978374102596,-324724736.290357,103167376172.098,48.9661827043944,-20.3539140519063,..,3.1,16.2075272934985,..,..,65.7714797692355,75600,9.5887373905332,3172292,86.1677036462374,37.6141184617099,0.743552267452411,8433780,..,..,1.2100726919781,80.24,0.00442182806236177,1916630,6000361,12.2252280964364,31.396,31.4261695324,2552,12.5,19777816521.1358,12.3082386584953,29.9660286180716,143.980453070036,64.7300033569336,38.439998626709,61,9.9399995803833,12.3800001144409
