Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2014","2014","US$","585.862673","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2014","2014","%","-0.362351","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2015","2015","US$","543.76894","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2015","2015","%","-4.284522","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","509.271172","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2016","2016","%","-3.705918","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","520.616409","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2017","2017","%","4.86579","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","495.504343","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-2.526962","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","496.940553","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.636658","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22075","Valeur ajoutée (Industrie manufacturière)","2014","2014","%","-8.644021","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22075","Valeur ajoutée (Industrie manufacturière)","2015","2015","%","-11.151219","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22075","Valeur ajoutée (Industrie manufacturière)","2016","2016","%","-0.388616","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","-10.013892","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22075","Valeur ajoutée (Industrie manufacturière)","2018","2018","%","70.079131","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22075","Valeur ajoutée (Industrie manufacturière)","2019","2019","%","17.348664","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2014","2014","US$","6428.506306","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2014","2014","%","-4.365872","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2015","2015","US$","5730.934452","X","Ciffre de sources internationales",""
