Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","004","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","93.36","I","Valeur imputée"
"PP","Prix à la Production","004","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","89.57","I","Valeur imputée"
"PP","Prix à la Production","004","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","85.02","I","Valeur imputée"
"PP","Prix à la Production","004","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","88.13","I","Valeur imputée"
"PP","Prix à la Production","004","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","89.1","I","Valeur imputée"
"PP","Prix à la Production","710","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","107.81","I","Valeur imputée"
"PP","Prix à la Production","710","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","104.04","I","Valeur imputée"
"PP","Prix à la Production","710","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","105.33","I","Valeur imputée"
"PP","Prix à la Production","710","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","113.6","I","Valeur imputée"
"PP","Prix à la Production","710","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","118.98","I","Valeur imputée"
"PP","Prix à la Production","008","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","81.78","I","Valeur imputée"
"PP","Prix à la Production","008","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","80.33","I","Valeur imputée"
"PP","Prix à la Production","008","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","83.46","I","Valeur imputée"
"PP","Prix à la Production","008","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","82.66","I","Valeur imputée"
"PP","Prix à la Production","008","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","84.45","I","Valeur imputée"
"PP","Prix à la Production","012","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","98.04","I","Valeur imputée"
"PP","Prix à la Production","012","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","94.9","I","Valeur imputée"
"PP","Prix à la Production","012","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","112.16","I","Valeur imputée"
"PP","Prix à la Production","012","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","107.1","I","Valeur imputée"
"PP","Prix à la Production","012","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","104.21","I","Valeur imputée"
"PP","Prix à la Production","276","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","96.38","I","Valeur imputée"
"PP","Prix à la Production","276","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","95.13","I","Valeur imputée"
"PP","Prix à la Production","276","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","97.85","I","Valeur imputée"
"PP","Prix à la Production","276","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","94.9","I","Valeur imputée"
"PP","Prix à la Production","276","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","90.26","I","Valeur imputée"
"PP","Prix à la Production","028","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","151.94","I","Valeur imputée"
"PP","Prix à la Production","028","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","174.83","I","Valeur imputée"
"PP","Prix à la Production","028","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","178.7","I","Valeur imputée"
"PP","Prix à la Production","028","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","181.59","I","Valeur imputée"
"PP","Prix à la Production","028","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","184.47","I","Valeur imputée"
"PP","Prix à la Production","682","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","100.35","I","Valeur imputée"
"PP","Prix à la Production","682","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","100.4","I","Valeur imputée"
"PP","Prix à la Production","682","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","100.16","I","Valeur imputée"
"PP","Prix à la Production","682","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","91.97","I","Valeur imputée"
