Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2016","2016","millions","9299.08934","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","9095.510866","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","311.850438","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","288.423438","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2016","2016","millions","25.092549","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","34.955836","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2016","2016","millions","102874.441161","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","118821.281476","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2018","2018","millions","129162.637164","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2019","2019","millions","124212.275326","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","1379.642205","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","1608.695933","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2018","2018","millions","1576.326568","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2019","2019","millions","1541.551887","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2016","2016","millions","1011.51554","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2017","2017","millions","1166.285802","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2018","2018","millions","1219.251443","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2019","2019","millions","1184.419586","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2016","2016","millions","368.126665","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2017","2017","millions","442.410131","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2018","2018","millions","357.075125","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2019","2019","millions","357.132301","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2016","2016","millions","1259.788593","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2017","2017","millions","1461.250888","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2018","2018","millions","1441.970255","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2019","2019","millions","1420.56986","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2016","2016","millions","895.740893","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2017","2017","millions","1023.190611","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2018","2018","millions","1089.653111","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2019","2019","millions","1067.59026","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2016","2016","millions","364.047699","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2017","2017","millions","438.060277","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2018","2018","millions","352.317145","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2019","2019","millions","352.9796","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2016","2016","millions","68.050746","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2017","2017","millions","89.172003","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2018","2018","millions","75.44798","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2019","2019","millions","71.218825","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2016","2016","millions","64.379677","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2017","2017","millions","85.272134","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2018","2018","millions","71.445234","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23138","Sylviculture, Courantes (Administrations Publiques)","2019","2019","millions","67.758241","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2016","2016","millions","3.671069","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2017","2017","millions","3.899869","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2018","2018","millions","4.002746","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23139","Sylviculture, Capital (Administrations Publiques)","2019","2019","millions","3.460584","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2016","2016","millions","51.802866","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2017","2017","millions","58.198044","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2018","2018","millions","58.757286","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23140","Pêche (Administrations Publiques)","2019","2019","millions","49.763202","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2016","2016","millions","51.394969","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2017","2017","millions","57.748059","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2018","2018","millions","58.002051","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2019","2019","millions","49.071086","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2016","2016","millions","0.407897","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2017","2017","millions","0.449985","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2018","2018","millions","0.755235","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2019","2019","millions","0.692117","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2016","2016","millions","143.715562","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2017","2017","millions","159.369644","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2018","2018","millions","152.104336","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2019","2019","millions","140.707358","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2016","2016","millions","746.58671","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","884.295279","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2018","2018","millions","1076.05888","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2019","2019","millions","978.030338","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2016","2016","millions","3428.258517","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","3805.99134","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2018","2018","millions","4355.901378","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2019","2019","millions","4446.43145","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","101.055517","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","84.111067","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2018","2018","millions","95.65594","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2019","2019","millions","90.631993","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2016","2016","millions","42.620935","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2017","2017","millions","39.076516","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2018","2018","millions","54.384513","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2019","2019","millions","54.728761","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2016","2016","millions","61.534931","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2017","2017","millions","45.037909","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2018","2018","millions","41.271427","A","Chiffre officiel","Consolidated General Government Expenditure"
